Dataset,Split,Axis,Coverage,n_kept,mean_axis_score_kept,V2_R@1,V2_risk,rho,candidate_pool,uncertainty_k,mean_alpha_full,mean_SU_full,mean_LU_full
Nordland-clean,full,LU,0.3,120,0.8234987854957581,50.83333333333333,49.16666666666667,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.4,160,0.8372852206230164,48.125,51.875,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.5,200,0.8490118384361267,48.0,52.0,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.6,240,0.8593557476997375,49.166666666666664,50.833333333333336,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.7,280,0.8686196208000183,52.142857142857146,47.857142857142854,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.8,320,0.8773519396781921,53.125,46.875,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.9,360,0.8861895203590393,52.77777777777778,47.22222222222222,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,1.0,400,0.895315408706665,50.5,49.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.05,20,0.4090188443660736,55.00000000000001,44.99999999999999,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.1,40,0.5564688444137573,57.49999999999999,42.50000000000001,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.2,80,0.7445999383926392,62.5,37.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.3,120,0.8868541717529297,65.0,35.0,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.4,160,1.0001236200332642,62.5,37.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.5,200,1.1008307933807373,62.5,37.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.6,240,1.1913070678710938,58.75,41.25,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.7,280,1.2780295610427856,57.14285714285714,42.85714285714286,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,0.8,320,1.3713855743408203,55.93749999999999,44.06250000000001,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
