seed,split,n_calibration,n_evaluation,rho,candidate_pool,uncertainty_k,R@1,R@5,R@10,count@1,count@5,count@10,mean_alpha
42,calibration,222,518,3.0,100,10,85.58558558558559,91.44144144144144,92.7927927927928,190,203,206,0.7197359204292297
42,calibration,222,518,4.0,100,10,85.58558558558559,91.44144144144144,92.34234234234235,190,203,205,0.7667623162269592
42,calibration,222,518,6.0,100,10,84.68468468468468,91.8918918918919,92.7927927927928,188,204,206,0.8236983418464661
42,calibration,222,518,8.0,100,10,84.23423423423422,92.34234234234235,92.7927927927928,187,205,206,0.857380211353302
42,calibration,222,518,10.0,100,10,84.23423423423422,92.34234234234235,92.7927927927928,187,205,206,0.879835844039917
100,calibration,222,518,0.5,10,10,85.13513513513513,94.14414414414415,95.94594594594594,189,209,213,0.358639121055603
100,calibration,222,518,1.0,10,10,86.48648648648648,94.14414414414415,95.94594594594594,192,209,213,0.5023970603942871
100,calibration,222,518,1.5,10,10,86.48648648648648,94.5945945945946,95.94594594594594,192,210,213,0.5877648591995239
100,calibration,222,518,2.0,10,10,87.83783783783784,94.5945945945946,95.94594594594594,195,210,213,0.6457453370094299
100,calibration,222,518,3.0,10,10,87.83783783783784,95.04504504504504,95.94594594594594,195,211,213,0.720840334892273
100,calibration,222,518,4.0,10,10,87.83783783783784,95.04504504504504,95.94594594594594,195,211,213,0.7681069374084473
100,calibration,222,518,6.0,10,10,87.38738738738738,94.5945945945946,95.94594594594594,194,210,213,0.8252087235450745
100,calibration,222,518,8.0,10,10,87.38738738738738,94.14414414414415,95.94594594594594,194,209,213,0.8589109778404236
100,calibration,222,518,10.0,10,10,86.93693693693693,94.14414414414415,95.94594594594594,193,209,213,0.8813435435295105
100,calibration,222,518,0.5,20,10,82.88288288288288,94.14414414414415,95.94594594594594,184,209,213,0.358639121055603
100,calibration,222,518,1.0,20,10,85.13513513513513,94.5945945945946,96.3963963963964,189,210,214,0.5023970603942871
100,calibration,222,518,1.5,20,10,85.58558558558559,94.5945945945946,96.84684684684684,190,210,215,0.5877648591995239
100,calibration,222,518,2.0,20,10,87.83783783783784,94.14414414414415,96.84684684684684,195,209,215,0.6457453370094299
100,calibration,222,518,3.0,20,10,87.83783783783784,94.5945945945946,96.84684684684684,195,210,215,0.720840334892273
100,calibration,222,518,4.0,20,10,87.83783783783784,93.69369369369369,96.84684684684684,195,208,215,0.7681069374084473
100,calibration,222,518,6.0,20,10,87.38738738738738,94.14414414414415,96.84684684684684,194,209,215,0.8252087235450745
100,calibration,222,518,8.0,20,10,87.38738738738738,95.04504504504504,96.84684684684684,194,211,215,0.8589109778404236
100,calibration,222,518,10.0,20,10,86.93693693693693,95.04504504504504,96.84684684684684,193,211,215,0.8813435435295105
100,calibration,222,518,0.5,50,10,82.43243243243244,92.7927927927928,95.4954954954955,183,206,212,0.358639121055603
100,calibration,222,518,1.0,50,10,85.13513513513513,93.69369369369369,95.94594594594594,189,208,213,0.5023970603942871
100,calibration,222,518,1.5,50,10,85.58558558558559,94.14414414414415,95.94594594594594,190,209,213,0.5877648591995239
100,calibration,222,518,2.0,50,10,87.83783783783784,93.24324324324324,96.3963963963964,195,207,214,0.6457453370094299
100,calibration,222,518,3.0,50,10,87.83783783783784,94.14414414414415,96.84684684684684,195,209,215,0.720840334892273
100,calibration,222,518,4.0,50,10,87.83783783783784,93.69369369369369,96.3963963963964,195,208,214,0.7681069374084473
100,calibration,222,518,6.0,50,10,87.38738738738738,94.14414414414415,96.3963963963964,194,209,214,0.8252087235450745
100,calibration,222,518,8.0,50,10,87.38738738738738,94.5945945945946,96.84684684684684,194,210,215,0.8589109778404236
100,calibration,222,518,10.0,50,10,86.93693693693693,94.5945945945946,96.84684684684684,193,210,215,0.8813435435295105
100,calibration,222,518,0.5,100,10,81.98198198198197,92.7927927927928,94.14414414414415,182,206,209,0.358639121055603
100,calibration,222,518,1.0,100,10,85.13513513513513,93.69369369369369,95.04504504504504,189,208,211,0.5023970603942871
100,calibration,222,518,1.5,100,10,85.58558558558559,94.14414414414415,95.94594594594594,190,209,213,0.5877648591995239
100,calibration,222,518,2.0,100,10,87.83783783783784,93.24324324324324,96.3963963963964,195,207,214,0.6457453370094299
100,calibration,222,518,3.0,100,10,87.83783783783784,94.14414414414415,96.84684684684684,195,209,215,0.720840334892273
100,calibration,222,518,4.0,100,10,87.83783783783784,93.69369369369369,96.3963963963964,195,208,214,0.7681069374084473
100,calibration,222,518,6.0,100,10,87.38738738738738,94.14414414414415,96.3963963963964,194,209,214,0.8252087235450745
100,calibration,222,518,8.0,100,10,87.38738738738738,94.5945945945946,96.84684684684684,194,210,215,0.8589109778404236
100,calibration,222,518,10.0,100,10,86.93693693693693,94.5945945945946,96.84684684684684,193,210,215,0.8813435435295105
