query_id,v1_best_positive_rank_in_top10,v2_best_positive_rank_in_top10,v1_bucket,v2_bucket,v1_R@1_correct,v2_R@1_correct,v1_R@5_correct,v2_R@5_correct,v1_R@10_correct,v2_R@10_correct,rank_shift_v2_minus_v1,alpha_v1,alpha_v2,SU,LU
222,6,6,rank_6_10,rank_6_10,False,False,False,False,True,True,0,1.0,0.8026401400566101,0.806528627872467,0.9216306805610657
223,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.6251959116837591,0.6679921746253967,0.7516283988952637,0.8377698063850403
224,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.56369948387146,0.9299805164337158,0.8869737386703491
225,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.4187204837799072,0.9149187207221985,0.8392464518547058
226,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8881361484527588,0.7548193335533142,0.950048565864563
227,9,9,rank_6_10,rank_6_10,False,False,False,False,True,True,0,0.354225894917586,0.6793646216392517,0.8688547611236572,0.89984130859375
228,6,6,rank_6_10,rank_6_10,False,False,False,False,True,True,0,0.9716706904021073,0.9845190048217773,0.4329478442668915,0.8851513862609863
229,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.33755746467780307,0.12588992714881897,0.8766211867332458,0.7257426977157593
230,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.4226532484640766,0.5153896808624268,0.838433027267456,0.8356623649597168
231,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.3151663421837565,0.6744398474693298,0.8873593211174011,0.9068150520324707
232,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.21641313619784633,0.5767877697944641,0.9411797523498535,0.8955675363540649
233,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.3504287588173785,0.5924404859542847,0.8706086874008179,0.871434211730957
234,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.731171190738678,0.8663725852966309,0.9198464155197144
235,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8105236291885376,0.8266111612319946,0.9388392567634583
236,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.6012565355306189,0.8512486815452576,0.7622697353363037,0.9239358901977539
237,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.5891737360819865,0.7222456336021423,0.7675559520721436,0.8639425039291382
238,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,0.45792264204669886,0.6016369462013245,0.8233412504196167,0.8530111312866211
239,1,3,rank_1,rank_3,True,False,True,True,True,True,2,1.0,0.6385399103164673,0.9316155910491943,0.9132418632507324
240,7,7,rank_6_10,rank_6_10,False,False,False,False,True,True,0,1.0,0.7916637659072876,0.8764668703079224,0.9580241441726685
241,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.3240951347319934,0.7503073215484619,0.8830314874649048,0.9380456209182739
242,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.687992513179779,0.898823618888855,0.9176440238952637
243,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7033975720405579,0.9332585334777832,0.9410333037376404
244,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8931558728218079,0.6971592903137207,0.9124346971511841
245,2,2,rank_2,rank_2,False,False,True,True,True,True,0,0.45851120580879223,0.4743475914001465,0.8230913877487183,0.8182533979415894
246,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.8762551277796272,0.9171215891838074,0.5992400050163269,0.8683574199676514
247,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.700820416634208,0.8882806301116943,0.7158393859863281,0.9212803840637207
248,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.6397214669228423,0.8772066235542297,0.7450413703918457,0.9324074983596802
249,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7584018707275391,0.7486373782157898,0.8673266172409058
250,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9636348485946655,0.5816106796264648,0.9263808131217957
251,2,2,rank_2,rank_2,False,False,True,True,True,True,0,1.0,0.9640622735023499,0.6028134822845459,0.9456552267074585
252,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.6535748243331909,0.8220353126525879,0.8683136701583862
253,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8422592878341675,0.7595505714416504,0.9159735441207886
254,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7343060970306396,0.8740894794464111,0.925370454788208
255,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7469669580459595,0.7806559801101685,0.8804028630256653
256,2,1,rank_2,rank_1,False,True,True,True,True,True,-1,1.0,0.4624641537666321,0.8897613286972046,0.8420720100402832
257,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.373827553977044,0.7085281014442444,0.8599289059638977,0.9068100452423096
258,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.797031581401825,0.7808114290237427,0.9031033515930176
259,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8322809934616089,0.7033877968788147,0.874845027923584
260,3,3,rank_3,rank_3,False,False,True,True,True,True,0,1.0,0.8027167320251465,0.867903470993042,0.9599786996841431
261,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.6115548610687256,0.8188265562057495,0.8538305759429932
262,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.40889243157541977,0.7723435163497925,0.8444046378135681,0.9277037978172302
263,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.2995940944393913,0.6498939394950867,0.8950701951980591,0.9012628793716431
264,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.7617536087168726,0.8925111293792725,0.6830475330352783,0.902074933052063
265,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.20892824916665031,0.30769139528274536,0.9458918571472168,0.8175321817398071
266,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.7605491890889508,0.9098231196403503,0.683745801448822,0.9192090630531311
267,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.20245038605806154,0.30346542596817017,0.9500710964202881,0.8175321817398071
268,7,7,rank_6_10,rank_6_10,False,False,False,False,True,True,0,0.23293724479158864,0.1465698778629303,0.9311777949333191,0.753874659538269
269,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8327370882034302,0.8040727972984314,0.9389065504074097
270,3,3,rank_3,rank_3,False,False,True,True,True,True,0,1.0,0.8243025541305542,0.8824353218078613,0.9860435724258423
271,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.6074092984199524,0.8577443361282349,0.8703665733337402
272,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7002853155136108,0.8358205556869507,0.8913677930831909
273,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.951438307762146,0.617513120174408,0.927940309047699
274,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.4591305146823354,0.46820810437202454,0.8228285312652588,0.8165423274040222
275,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.4739004012794797,0.6583526134490967,0.8165727853775024,0.8672091960906982
276,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.940828800201416,0.6926385164260864,0.9720996618270874
277,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7719875574111938,0.7236009836196899,0.8587868809700012
278,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7495442032814026,0.7859629392623901,0.8843599557876587
279,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7043213844299316,0.8617441654205322,0.9060255289077759
280,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.20738123901789257,0.6328502893447876,0.9468810558319092,0.9175984859466553
281,3,3,rank_3,rank_3,False,False,True,True,True,True,0,1.0,0.9178945422172546,0.68373703956604,0.9284839630126953
282,2,2,rank_2,rank_2,False,False,True,True,True,True,0,1.0,0.8248032927513123,0.866672694683075,0.9754860401153564
283,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.6991457343101501,0.8985809087753296,0.9221913814544678
284,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.5522711277008057,0.8411445617675781,0.8469250202178955
