Dataset,Split,Uncertainty_axis,Coverage,n_kept,mean_uncertainty_kept,rho,candidate_pool,uncertainty_k,mean_LU_full,mean_SU_full,mean_alpha_full,B1 visual-only_R@1,B1 visual-only_risk,B2 fixed fusion_R@1,B2 fixed fusion_risk,V1 sigmoid+threshold_R@1,V1 sigmoid+threshold_risk,V2 calibrated precision_R@1,V2 calibrated precision_risk
MSLS-val held-out,heldout,LU,0.5,259,0.8895668983459473,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,86.10038610038609,13.899613899613911,86.48648648648648,13.513513513513516,86.48648648648648,13.513513513513516,86.48648648648648,13.513513513513516
MSLS-val held-out,heldout,LU,0.6,311,0.8955931663513184,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,84.2443729903537,15.755627009646304,84.2443729903537,15.755627009646304,85.20900321543408,14.79099678456592,84.2443729903537,15.755627009646304
MSLS-val held-out,heldout,LU,0.7,363,0.9009484052658081,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,84.29752066115702,15.702479338842977,84.57300275482093,15.426997245179066,85.12396694214877,14.876033057851231,84.84848484848484,15.151515151515156
MSLS-val held-out,heldout,LU,0.8,415,0.9059098362922668,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,84.09638554216868,15.903614457831324,84.81927710843374,15.180722891566262,85.06024096385542,14.93975903614458,85.06024096385542,14.93975903614458
MSLS-val held-out,heldout,LU,0.9,467,0.9107568264007568,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,84.36830835117773,15.631691648822269,85.01070663811564,14.989293361884364,85.22483940042827,14.775160599571734,85.22483940042827,14.775160599571734
MSLS-val held-out,heldout,LU,1.0,518,0.9160003662109375,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,84.74903474903475,15.250965250965251,84.74903474903475,15.250965250965251,85.52123552123551,14.47876447876449,85.32818532818533,14.671814671814673
MSLS-val held-out,heldout,SU,0.05,26,0.3859610855579376,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
MSLS-val held-out,heldout,SU,0.1,52,0.4272673726081848,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
MSLS-val held-out,heldout,SU,0.2,104,0.4801061451435089,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,99.03846153846155,0.9615384615384528,99.03846153846155,0.9615384615384528,99.03846153846155,0.9615384615384528,99.03846153846155,0.9615384615384528
MSLS-val held-out,heldout,SU,0.3,156,0.5235149264335632,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,97.43589743589743,2.564102564102569,97.43589743589743,2.564102564102569,97.43589743589743,2.564102564102569,97.43589743589743,2.564102564102569
MSLS-val held-out,heldout,SU,0.4,208,0.5592184662818909,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,98.07692307692307,1.923076923076934,98.07692307692307,1.923076923076934,98.07692307692307,1.923076923076934,98.07692307692307,1.923076923076934
MSLS-val held-out,heldout,SU,0.5,259,0.5907526612281799,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,96.13899613899613,3.8610038610038657,96.13899613899613,3.8610038610038657,95.75289575289575,4.247104247104247,96.52509652509652,3.474903474903485
MSLS-val held-out,heldout,SU,0.6,311,0.6183188557624817,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,95.81993569131832,4.180064308681679,95.4983922829582,4.501607717041793,95.4983922829582,4.501607717041793,96.14147909967846,3.858520900321537
MSLS-val held-out,heldout,SU,0.7,363,0.6438488364219666,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,95.0413223140496,4.958677685950406,94.49035812672176,5.509641873278241,94.76584022038568,5.234159779614316,95.59228650137742,4.407713498622584
MSLS-val held-out,heldout,SU,0.8,415,0.6679180264472961,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,92.28915662650601,7.7108433734939865,91.56626506024097,8.433734939759034,92.04819277108433,7.951807228915669,92.7710843373494,7.228915662650607
MSLS-val held-out,heldout,SU,0.9,467,0.691603422164917,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,89.72162740899357,10.27837259100643,89.07922912205566,10.920770877944335,89.93576017130621,10.064239828693786,90.36402569593149,9.635974304068512
MSLS-val held-out,heldout,SU,1.0,518,0.7153035998344421,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,84.74903474903475,15.250965250965251,84.74903474903475,15.250965250965251,85.52123552123551,14.47876447876449,85.32818532818533,14.671814671814673
MSLS-val held-out,heldout,joint_variance,0.05,26,0.3059397339820862,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
MSLS-val held-out,heldout,joint_variance,0.1,52,0.45359376072883606,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,98.07692307692307,1.923076923076934,98.07692307692307,1.923076923076934,98.07692307692307,1.923076923076934,98.07692307692307,1.923076923076934
MSLS-val held-out,heldout,joint_variance,0.2,104,0.6471936106681824,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,97.11538461538461,2.884615384615387,97.11538461538461,2.884615384615387,97.11538461538461,2.884615384615387,97.11538461538461,2.884615384615387
MSLS-val held-out,heldout,joint_variance,0.3,156,0.8051121234893799,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,97.43589743589743,2.564102564102569,97.43589743589743,2.564102564102569,97.43589743589743,2.564102564102569,97.43589743589743,2.564102564102569
MSLS-val held-out,heldout,joint_variance,0.4,208,0.9329458475112915,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,94.71153846153845,5.288461538461547,95.1923076923077,4.807692307692307,94.23076923076923,5.769230769230774,95.67307692307693,4.326923076923066
MSLS-val held-out,heldout,joint_variance,0.5,259,1.0427696704864502,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,93.43629343629344,6.56370656370656,94.98069498069498,5.019305019305023,94.20849420849422,5.791505791505784,94.98069498069498,5.019305019305023
